case_id,case_type,subject_identified,account_scope_documented,lookback_days,scope_elements_total,scope_elements_reviewed,evidence_item_count,evidence_source_types,corroborated_typology,disposition,rationale_claim_count,rationale_cited_count,escalation_trigger_count,escalation_flag,alert_to_open_days,open_to_complete_days,chronology_present,missing_5w,empty_narrative_fields,label,category,expected_check
CASE-0000077,STRUCTURING,1,1,153,7,7,8,negative_news_search|kyc_file|account_statements|internal_referral,0,CLOSED_NO_FINDING,5,5,0,0,2,13,1,,,0,clean,
CASE-0000078,STRUCTURING,1,1,159,6,3,5,correspondence|internal_referral,0,CLOSED_NO_FINDING,5,5,0,0,3,22,1,,,1,plant_unreviewed_scope,cleared_with_unreviewed_scope
CASE-0000079,STRUCTURING,1,1,72,5,5,7,open_source|internal_referral|kyc_file|transaction_records,0,CLOSED_NO_FINDING,3,3,0,0,5,9,1,who,,0,major_findings,
CASE-0000080,FUNNEL_ACCOUNT,1,1,200,3,3,3,open_source|transaction_records|internal_referral,0,CLOSED_NO_FINDING,3,3,0,0,5,50,1,,,0,minor_findings,
CASE-0000081,SANCTIONS_REFERRAL,1,1,134,6,6,7,internal_referral|kyc_file,0,CLOSED_NO_FINDING,3,3,0,0,4,11,1,,,0,clean,
CASE-0000082,FRAUD_REFERRAL,1,1,86,5,5,8,open_source|kyc_file,0,CLOSED_NO_FINDING,3,3,0,0,1,27,1,,,0,clean,
CASE-0000083,FRAUD_REFERRAL,1,1,90,4,3,3,correspondence|kyc_file,0,CLOSED_NO_FINDING,3,3,0,0,4,9,1,,,1,plant_unreviewed_scope,cleared_with_unreviewed_scope
CASE-0000084,FRAUD_REFERRAL,1,1,75,4,4,5,transaction_records|kyc_file|account_statements|negative_news_search,0,CLOSED_NO_FINDING,6,6,0,0,5,10,1,,,0,clean,
CASE-0000085,STRUCTURING,1,1,146,5,5,6,kyc_file|transaction_records|account_statements|correspondence,0,CLOSED_NO_FINDING,2,2,0,0,1,13,1,,,0,clean,
CASE-0000086,FUNNEL_ACCOUNT,1,1,253,5,5,4,negative_news_search|account_statements|correspondence,0,ESCALATED_WITH_FINDING,2,2,3,1,1,28,1,,,0,clean,
CASE-0000087,FUNNEL_ACCOUNT,1,1,241,6,6,4,internal_referral|open_source|transaction_records,0,CLOSED_NO_FINDING,2,2,0,0,1,41,1,,,0,clean,
CASE-0000088,STRUCTURING,1,1,141,7,7,9,negative_news_search|kyc_file|open_source|correspondence,0,ESCALATED_WITH_FINDING,2,2,1,1,5,17,1,,,0,clean,
CASE-0000089,SANCTIONS_REFERRAL,1,1,120,4,4,6,kyc_file|open_source|internal_referral,0,CLOSED_NO_FINDING,5,3,0,0,5,10,1,,,1,plant_uncited_disposition,unsupported_disposition
CASE-0000090,FUNNEL_ACCOUNT,1,1,189,6,6,4,open_source|transaction_records,0,CLOSED_NO_FINDING,4,4,0,1,2,32,1,,,0,minor_findings,
CASE-0000091,FRAUD_REFERRAL,1,1,105,8,8,9,transaction_records|kyc_file|negative_news_search|internal_referral,0,CLOSED_NO_FINDING,4,4,0,0,1,17,1,,,0,clean,
CASE-0000092,LAYERING_PASSTHROUGH,1,1,230,3,3,8,correspondence|kyc_file,0,CLOSED_NO_FINDING,6,6,0,0,4,19,1,,,0,clean,
CASE-0000093,FUNNEL_ACCOUNT,1,1,260,8,8,7,account_statements|kyc_file,0,CLOSED_NO_FINDING,4,4,0,0,5,28,1,,,0,clean,
CASE-0000094,FUNNEL_ACCOUNT,1,1,274,7,7,4,internal_referral|correspondence,0,CLOSED_NO_FINDING,2,2,1,0,2,37,1,,,1,plant_missed_escalation,missed_escalation
CASE-0000095,FUNNEL_ACCOUNT,1,1,291,5,5,4,account_statements|correspondence,0,CLOSED_NO_FINDING,6,6,0,0,3,22,1,,,0,clean,
CASE-0000096,STRUCTURING,1,1,119,6,6,6,transaction_records|kyc_file|open_source|correspondence,0,CLOSED_NO_FINDING,4,4,0,0,4,16,1,,,0,clean,
CASE-0000097,LAYERING_PASSTHROUGH,1,1,211,3,3,3,account_statements|kyc_file,0,CLOSED_NO_FINDING,3,3,0,0,1,51,1,,,0,minor_findings,
CASE-0000098,SANCTIONS_REFERRAL,1,1,126,4,4,8,open_source|internal_referral,0,CLOSED_NO_FINDING,2,2,0,0,4,9,1,,,0,clean,
CASE-0000099,FUNNEL_ACCOUNT,1,1,238,7,7,9,transaction_records|open_source|correspondence,1,ESCALATED_WITH_FINDING,4,4,3,1,3,29,1,,,0,clean,
CASE-0000100,SANCTIONS_REFERRAL,1,1,121,4,4,9,transaction_records|open_source|kyc_file|negative_news_search,0,CLOSED_NO_FINDING,3,3,0,0,4,13,1,,,0,clean,
CASE-0000101,STRUCTURING,1,1,155,4,4,8,internal_referral|correspondence|account_statements,0,CLOSED_NO_FINDING,3,3,0,0,1,19,1,,,0,clean,
CASE-0000102,STRUCTURING,1,1,95,8,8,10,correspondence|negative_news_search|internal_referral,0,CLOSED_NO_FINDING,5,5,0,0,2,22,1,,,0,clean,
CASE-0000103,FRAUD_REFERRAL,1,1,75,8,8,10,kyc_file,0,CLOSED_NO_FINDING,4,4,0,1,5,12,1,,,0,minor_findings,
CASE-0000104,FUNNEL_ACCOUNT,1,1,191,5,5,4,negative_news_search|correspondence|open_source|internal_referral,0,CLOSED_NO_FINDING,6,6,0,0,1,26,1,,,0,clean,
CASE-0000105,SANCTIONS_REFERRAL,1,1,136,7,7,8,open_source|negative_news_search|account_statements|transaction_records,0,CLOSED_NO_FINDING,5,5,0,0,1,27,1,,,0,minor_findings,
CASE-0000106,STRUCTURING,1,1,127,7,7,5,kyc_file|correspondence|open_source,0,CLOSED_NO_FINDING,5,5,0,0,4,24,1,,,0,clean,
CASE-0000107,SANCTIONS_REFERRAL,1,1,114,8,8,8,negative_news_search|internal_referral,0,CLOSED_NO_FINDING,5,5,0,0,3,47,1,who|what,,0,major_findings,
CASE-0000108,SANCTIONS_REFERRAL,1,1,157,8,7,7,open_source|internal_referral|kyc_file|account_statements,0,CLOSED_NO_FINDING,6,6,0,0,4,5,1,,,1,plant_unreviewed_scope,cleared_with_unreviewed_scope
CASE-0000109,FUNNEL_ACCOUNT,1,1,316,5,5,10,account_statements|correspondence,0,CLOSED_NO_FINDING,3,3,0,0,2,39,1,,,0,clean,
CASE-0000110,FRAUD_REFERRAL,1,1,61,7,7,8,account_statements|negative_news_search|open_source|correspondence,1,ESCALATED_WITH_FINDING,3,3,3,1,5,20,1,,,0,clean,
CASE-0000111,FRAUD_REFERRAL,1,1,79,3,3,6,negative_news_search|kyc_file|open_source,0,CLOSED_NO_FINDING,3,3,0,0,2,21,1,what|when,,0,major_findings,
CASE-0000112,LAYERING_PASSTHROUGH,1,1,292,5,5,9,correspondence|account_statements,0,CLOSED_NO_FINDING,6,6,0,0,4,44,1,,,0,minor_findings,
CASE-0000113,LAYERING_PASSTHROUGH,1,1,302,7,7,7,correspondence|account_statements,1,CLOSED_NO_FINDING,4,4,0,0,1,34,1,,,1,plant_hidden_contradiction,contradictory_disposition
CASE-0000114,FRAUD_REFERRAL,1,1,104,5,5,9,open_source|negative_news_search,1,ESCALATED_WITH_FINDING,4,4,1,1,2,23,1,,,0,clean,
CASE-0000115,STRUCTURING,1,1,92,4,4,10,correspondence|account_statements|open_source|negative_news_search,0,CLOSED_NO_FINDING,6,6,0,0,3,22,1,,,0,clean,
CASE-0000116,STRUCTURING,1,1,133,8,8,9,correspondence|kyc_file,0,CLOSED_NO_FINDING,3,3,0,0,2,19,1,,,0,clean,
CASE-0000117,STRUCTURING,1,1,150,3,3,10,negative_news_search|transaction_records|correspondence|account_statements,0,CLOSED_NO_FINDING,3,3,0,0,5,14,1,,,0,clean,
CASE-0000118,STRUCTURING,1,1,138,8,8,8,negative_news_search|correspondence,0,CLOSED_NO_FINDING,6,6,0,0,5,13,1,,,0,clean,
CASE-0000119,LAYERING_PASSTHROUGH,1,1,186,6,6,9,kyc_file|internal_referral|transaction_records,0,CLOSED_NO_FINDING,4,4,0,0,1,26,1,who,,0,major_findings,
CASE-0000120,SANCTIONS_REFERRAL,1,1,129,5,5,5,open_source|internal_referral|correspondence|account_statements,0,CLOSED_NO_FINDING,3,3,0,0,3,6,0,,,0,major_findings,
CASE-0000121,STRUCTURING,1,1,127,5,5,10,transaction_records|internal_referral|account_statements,0,CLOSED_NO_FINDING,4,4,0,0,1,16,1,,,0,clean,
CASE-0000122,SANCTIONS_REFERRAL,1,1,121,5,5,9,open_source|correspondence|kyc_file|account_statements,0,CLOSED_NO_FINDING,5,5,0,0,3,8,1,,,0,clean,
CASE-0000123,FUNNEL_ACCOUNT,1,1,284,3,3,4,kyc_file,0,CLOSED_NO_FINDING,4,4,0,1,5,19,1,,,0,minor_findings,
CASE-0000124,FUNNEL_ACCOUNT,1,1,279,4,4,8,kyc_file,0,CLOSED_NO_FINDING,6,6,0,0,4,44,1,,,0,minor_findings,
CASE-0000125,SANCTIONS_REFERRAL,1,1,138,7,7,10,account_statements|transaction_records,0,CLOSED_NO_FINDING,3,3,0,0,1,8,1,,,0,clean,
CASE-0000126,FUNNEL_ACCOUNT,1,1,267,3,3,10,kyc_file|open_source|transaction_records,0,CLOSED_NO_FINDING,6,6,0,0,4,37,1,,activity_reviewed|conclusion,0,major_findings,
CASE-0000127,STRUCTURING,1,1,125,4,4,9,transaction_records|kyc_file|internal_referral|open_source,0,CLOSED_NO_FINDING,3,3,0,1,2,31,1,,,0,minor_findings,
CASE-0000128,FUNNEL_ACCOUNT,1,1,319,8,8,8,kyc_file|internal_referral|transaction_records|correspondence,0,CLOSED_NO_FINDING,4,3,0,0,4,38,1,,,1,plant_uncited_disposition,unsupported_disposition
CASE-0000129,STRUCTURING,1,1,160,3,3,5,correspondence|open_source,0,CLOSED_NO_FINDING,2,2,0,0,3,17,1,who,conclusion|case_background,0,major_findings,
CASE-0000130,FRAUD_REFERRAL,1,1,99,6,6,4,kyc_file|internal_referral,0,CLOSED_NO_FINDING,2,2,0,0,5,13,1,,,0,clean,
CASE-0000131,SANCTIONS_REFERRAL,1,1,145,4,4,5,negative_news_search|transaction_records|internal_referral,0,CLOSED_NO_FINDING,6,6,0,0,5,10,1,,,0,clean,
CASE-0000132,STRUCTURING,1,1,154,7,7,4,account_statements|internal_referral|negative_news_search,0,CLOSED_NO_FINDING,4,4,0,0,2,15,1,,,0,clean,
CASE-0000133,FUNNEL_ACCOUNT,1,1,315,7,7,5,internal_referral|negative_news_search,0,CLOSED_NO_FINDING,6,6,0,0,5,28,1,,,0,clean,
CASE-0000134,FRAUD_REFERRAL,1,1,97,8,8,7,account_statements|negative_news_search|open_source|transaction_records,0,ESCALATED_WITH_FINDING,5,5,3,1,1,12,1,,,0,clean,
CASE-0000135,FRAUD_REFERRAL,1,1,93,3,3,5,open_source|correspondence|internal_referral,0,CLOSED_NO_FINDING,3,3,0,0,4,12,1,,,0,clean,
CASE-0000136,STRUCTURING,1,1,160,5,5,5,negative_news_search|correspondence|transaction_records,0,CLOSED_NO_FINDING,4,4,0,0,3,21,1,,,0,clean,
CASE-0000137,STRUCTURING,1,1,158,5,5,9,correspondence|account_statements,0,CLOSED_NO_FINDING,4,4,0,0,2,11,1,,,0,clean,
CASE-0000138,SANCTIONS_REFERRAL,1,1,161,6,6,10,kyc_file|open_source|transaction_records,0,CLOSED_NO_FINDING,0,0,0,0,2,14,1,,,1,plant_missing_mandatory,missing_mandatory_element
CASE-0000139,STRUCTURING,1,1,125,5,4,10,negative_news_search|transaction_records|internal_referral,0,CLOSED_NO_FINDING,5,5,0,0,3,9,1,,,1,plant_unreviewed_scope,cleared_with_unreviewed_scope
CASE-0000140,SANCTIONS_REFERRAL,1,1,131,3,3,6,negative_news_search|kyc_file|transaction_records,0,CLOSED_NO_FINDING,5,5,0,0,3,5,1,where,case_background,0,major_findings,
CASE-0000141,FRAUD_REFERRAL,1,1,88,4,4,9,transaction_records|correspondence|internal_referral|account_statements,0,CLOSED_NO_FINDING,4,4,0,0,3,21,1,,,0,clean,
CASE-0000142,LAYERING_PASSTHROUGH,1,1,200,7,7,8,open_source|negative_news_search,0,CLOSED_NO_FINDING,4,4,0,0,2,31,0,,activity_reviewed|case_background,0,major_findings,
CASE-0000143,SANCTIONS_REFERRAL,1,1,152,8,8,3,open_source|kyc_file|negative_news_search|account_statements,0,CLOSED_NO_FINDING,2,2,0,0,5,6,1,,,0,clean,
CASE-0000144,STRUCTURING,1,1,100,6,6,6,open_source,0,CLOSED_NO_FINDING,2,2,0,0,5,19,1,,,0,minor_findings,
CASE-0000145,STRUCTURING,1,1,156,7,7,3,account_statements|negative_news_search|correspondence|kyc_file,0,CLOSED_NO_FINDING,5,5,0,0,4,16,1,,,0,clean,
CASE-0000146,FUNNEL_ACCOUNT,1,1,277,5,5,7,open_source|account_statements|internal_referral|kyc_file,0,CLOSED_NO_FINDING,6,6,0,0,5,21,1,,,0,clean,
CASE-0000147,FRAUD_REFERRAL,1,1,93,8,8,8,kyc_file|negative_news_search|correspondence,0,CLOSED_NO_FINDING,4,4,0,0,3,20,1,,,0,clean,
CASE-0000148,SANCTIONS_REFERRAL,1,1,110,4,4,7,transaction_records|kyc_file|open_source|internal_referral,0,CLOSED_NO_FINDING,5,5,0,0,4,13,1,,,0,clean,
CASE-0000149,FRAUD_REFERRAL,1,1,65,4,4,6,transaction_records|internal_referral,0,CLOSED_NO_FINDING,6,6,0,0,5,18,1,,,0,clean,
CASE-0000150,STRUCTURING,1,1,139,3,3,5,negative_news_search|account_statements,1,ESCALATED_WITH_FINDING,5,5,2,1,3,20,1,,,0,clean,
CASE-0000151,STRUCTURING,1,1,155,3,3,4,negative_news_search|account_statements|correspondence|transaction_records,0,CLOSED_NO_FINDING,3,3,0,0,3,13,1,,,0,clean,
